Variable Pair,Period,R_squared,RMSE,MB,Slope
unknown vs. EQUATES,None_spring,0.24,11.34,10.6,0.13
VNA vs. EQUATES,None_spring,0.23,26.55,24.79,0.51
eVNA vs. VNA,None_spring,0.49,12.6,-8.57,0.94
eVNA vs. EQUATES,None_spring,0.87,17.16,16.21,1.35
aVNA vs. EQUATES,None_spring,0.83,18.09,17.2,1.25
aVNA vs. eVNA,None_spring,0.99,1.52,0.99,0.95
eVNA vs. VNA,None_spring,0.49,12.6,-8.57,0.94
eVNA vs. VNA,None_spring,0.01,10.79,3.86,-1618.74
eVNA vs. VNA,None_spring,0.22,14.54,-9.4,0.6
eVNA vs. VNA,None_spring,0.49,12.63,-8.64,0.95
eVNA vs. VNA,None_spring,0.49,12.72,-8.69,0.96
eVNA vs. VNA,None_spring,0.49,12.63,-8.64,0.95
eVNA vs. VNA,None_spring,0.49,12.63,-8.64,0.95
VNA vs. EQUATES,None_spring,0.23,26.45,24.7,0.51
eVNA vs. EQUATES,None_spring,0.87,17.01,16.06,1.34
aVNA vs. EQUATES,None_spring,0.83,17.94,17.04,1.25
eVNA vs. VNA,None_spring,0.49,12.63,-8.64,0.95
aVNA vs. VNA,None_spring,0.56,11.16,-7.65,0.97
aVNA vs. eVNA,None_spring,0.99,1.51,0.98,0.95
VNA vs. EQUATES,None_spring,0.23,26.45,24.7,0.51
eVNA vs. EQUATES,None_spring,0.87,17.01,16.06,1.34
aVNA vs. EQUATES,None_spring,0.83,17.94,17.04,1.25
eVNA vs. VNA,None_spring,0.49,12.63,-8.64,0.95
aVNA vs. VNA,None_spring,0.56,11.16,-7.65,0.97
aVNA vs. eVNA,None_spring,0.99,1.51,0.98,0.95
VNA vs. EQUATES,None_summer,0.23,18.37,10.42,0.52
eVNA vs. EQUATES,None_summer,0.78,10.47,-0.81,1.27
aVNA vs. EQUATES,None_summer,0.78,11.17,-1.34,1.33
eVNA vs. VNA,None_summer,0.65,16.65,-11.23,1.08
aVNA vs. VNA,None_summer,0.63,17.65,-11.76,1.11
aVNA vs. eVNA,None_summer,1.0,1.5,-0.53,1.04
VNA vs. EQUATES,None_autumn,0.19,23.95,20.33,0.49
eVNA vs. EQUATES,None_autumn,0.81,15.57,13.3,1.32
aVNA vs. EQUATES,None_autumn,0.76,16.27,13.96,1.24
eVNA vs. VNA,None_autumn,0.56,13.0,-7.03,0.99
aVNA vs. VNA,None_autumn,0.63,11.62,-6.37,1.02
aVNA vs. eVNA,None_autumn,0.99,1.49,0.66,0.97
VNA vs. EQUATES,None_winter,0.47,9.71,6.6,0.87
eVNA vs. EQUATES,None_winter,0.72,9.15,5.1,1.43
aVNA vs. EQUATES,None_winter,0.72,8.96,4.97,1.42
eVNA vs. VNA,None_winter,0.78,6.54,-1.5,1.18
aVNA vs. VNA,None_winter,0.8,6.23,-1.64,1.18
aVNA vs. eVNA,None_winter,1.0,0.52,-0.14,0.99
VNA vs. EQUATES,None_spring,0.23,26.45,24.7,0.51
eVNA vs. EQUATES,None_spring,0.87,17.01,16.06,1.34
eVNA vs. VNA,None_spring,0.49,12.63,-8.64,0.95
VNA vs. EQUATES,None_summer,0.23,18.37,10.42,0.52
eVNA vs. EQUATES,None_summer,0.78,10.47,-0.81,1.27
eVNA vs. VNA,None_summer,0.65,16.65,-11.23,1.08
VNA vs. EQUATES,None_autumn,0.19,23.95,20.33,0.49
eVNA vs. EQUATES,None_autumn,0.81,15.57,13.3,1.32
eVNA vs. VNA,None_autumn,0.56,13.0,-7.03,0.99
VNA vs. EQUATES,None_winter,0.47,9.71,6.6,0.87
eVNA vs. EQUATES,None_winter,0.72,9.15,5.1,1.43
eVNA vs. VNA,None_winter,0.78,6.54,-1.5,1.18
VNA vs. EQUATES,None_spring,0.3,9.92,9.18,0.26
